Restaurant_id,Name,Country,City,Rating,Rating_count,Cuisine,Cuisine.1
315314,Food Plaza,India,Asansol,,Too Few Ratings,North Indian,North Indian
449785,MINGS WOK,India,"HSR,Bangalore",,Too Few Ratings,"Oriental,Chinese","Oriental,Chinese"
324085,AL BAIN RESTAURANT,India,"Kammanahalli/Kalyan Nagar,Bangalore",3.9,100+ ratings,"Middle Eastern,Biryani","Middle Eastern,Biryani"
374552,Shree Swami Samarth Poli Bhaji Kendra,India,"Kamothe,Mumbai",,Too Few Ratings,Indian,Indian
367042,Nityam Food Court,India,"Bandra West,Mumbai",4.3,100+ ratings,"Snacks,South Indian","Snacks,South Indian"
549944,Mama Mango snacks and foods,India,Noida-1,,Too Few Ratings,"Indian,Beverages","Indian,Beverages"
422887,Abu Zayed Bait Al Mandi,India,"Miyapur,Hyderabad",3.5,20+ ratings,Arabian,Arabian
394455,SANTOSH FAMILY DHABA,India,"Madhapur,Hyderabad",3.9,100+ ratings,"North Indian,Chinese","North Indian,Chinese"
55935,Flames,India,"South Chd,Chandigarh",4.1,500+ ratings,"Indian,Continental","Indian,Continental"
439355,CHICKEN KHURANA,India,"Uttam Nagar,Delhi",,Too Few Ratings,"Indian,Thalis","Indian,Thalis"
498106,NIRALA CHAT CORNER,India,Varanasi,,Too Few Ratings,"Chaat,Snacks","Chaat,Snacks"
560436,me donald's,India,"Sanjay Nagar, New BEL Road,Bangalore",,Too Few Ratings,"Fast Food,Snacks","Fast Food,Snacks"
187180,Royal Restaurant,India,"Nizampet & Pragathi Nagar,Hyderabad",,Too Few Ratings,"Biryani,North Indian","Biryani,North Indian"
78552,Prince Chinese,India,"Laxmi Nagar,Delhi",3.3,100+ ratings,Chinese,Chinese
113869,Cloud 9,India,Panipat,,Too Few Ratings,"Salads,Tandoor","Salads,Tandoor"
360556,Santosh Family Dhaba,India,"Manikonda,Hyderabad",3.8,500+ ratings,"North Indian,Chinese","North Indian,Chinese"
7312,Achayyan's,India,"Indiranagar,Bangalore",3.6,100+ ratings,"Kerala,South Indian","Kerala,South Indian"
344530,ANISH FAST FOOD,India,"Madipakkam,Chennai",,Too Few Ratings,Indian,Indian
563687,Namma Chennai Briyani,India,"Tambaram,Chennai",,Too Few Ratings,"Biryani,Chinese","Biryani,Chinese"
512527,Kritunga Family Restaurant,India,Ongole,3.2,100+ ratings,"North Indian,Chinese","North Indian,Chinese"
